Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
02:cb:05:b5:d1:76,70BA-EFCB-FBC0,2020-12-06 07:58:12,2020-12-06 08:04:39,387
04:69:f8:00:45:b2,70BA-EFCB-EE60,2020-12-06 08:03:36,2020-12-06 08:04:39,63
04:ed:33:5f:26:07,7425-8A50-3700,2020-12-06 07:19:56,2020-12-06 08:04:39,2683
06:42:20:53:ac:ed,7425-8A50-3700,2020-12-06 07:04:25,2020-12-06 08:04:39,3580
08:6d:41:c6:aa:de,7425-8A50-3700,2020-12-06 07:06:10,2020-12-06 08:04:39,3509
0c:3b:50:29:a0:0d,70BA-EFCF-9CA0,2020-12-06 07:25:53,2020-12-06 08:04:39,2326
0c:70:4a:8f:6b:e5,70BA-EFCB-FE80,2020-12-06 07:55:58,2020-12-06 08:04:39,521
0c:82:68:3e:15:6e,7425-8A50-9980,2020-12-06 07:39:58,2020-12-06 08:04:39,1481
0c:82:68:3e:17:09,7425-8A50-3A40,2020-12-06 07:27:22,2020-12-06 08:04:39,2237
0c:82:68:3e:17:12,7425-8A50-3FC0,2020-12-06 07:37:42,2020-12-06 08:04:39,1617
0c:82:68:4e:e0:26,7425-8A50-3B80,2020-12-06 07:29:54,2020-12-06 08:04:39,2085
10:29:59:38:6f:a2,7425-8A50-9980,2020-12-06 07:56:34,2020-12-06 08:04:39,485
14:7d:da:19:98:37,70BA-EFCF-9FC0,2020-12-06 07:45:38,2020-12-06 08:04:39,1141
14:95:ce:67:99:1e,70BA-EFCF-E2E0,2020-12-06 07:22:05,2020-12-06 08:04:39,2554
14:c6:97:a6:9d:c3,70BA-EFCC-01A0,2020-12-06 08:04:09,2020-12-06 08:04:39,30
1c:15:1f:9d:71:c9,7425-8A50-38A0,2020-12-06 07:45:55,2020-12-06 08:04:39,1124
1e:7b:66:d4:f8:a6,7425-8A50-99A0,2020-12-06 07:17:59,2020-12-06 08:04:39,2800
1e:cb:1f:7d:6a:5c,70BA-EFCF-D680,2020-12-06 07:16:36,2020-12-06 08:04:39,2883
22:7d:12:94:ec:79,70BA-EFCF-DCC0,2020-12-06 08:04:12,2020-12-06 08:04:39,27
24:31:54:aa:17:cb,70BA-EFCF-DC20,2020-12-06 07:50:06,2020-12-06 08:04:39,873
24:fd:52:8a:a6:19,70BA-EFCB-EF60,2020-12-06 07:08:17,2020-12-06 08:04:39,3382
28:cd:c4:c9:16:96,70BA-EFCB-7940,2020-12-06 07:39:42,2020-12-06 08:04:39,1497
28:e3:47:99:c0:5f,70BA-EFCB-7CA0,2020-12-06 07:52:28,2020-12-06 08:04:39,731
28:f0:76:1a:bf:20,703D-157A-2340,2020-12-06 07:53:44,2020-12-06 08:04:39,655
30:45:96:25:4a:92,70BA-EFD0-0700,2020-12-06 07:04:02,2020-12-06 08:04:39,3603
32:f4:16:2e:98:c3,70BA-EFCF-DF60,2020-12-06 07:52:14,2020-12-06 08:04:39,745
32:f9:6d:18:87:e6,70BA-EFCF-6060,2020-12-06 07:59:14,2020-12-06 08:04:39,325
34:ab:37:5d:e5:a9,70BA-EFCB-EE60,2020-12-06 07:56:02,2020-12-06 08:04:39,517
3e:af:d2:16:48:73,7425-8A50-99A0,2020-12-06 08:04:32,2020-12-06 08:04:39,7
40:83:1d:b8:93:65,70BA-EFCB-A5E0,2020-12-06 07:10:05,2020-12-06 08:04:39,3274
