Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
00:03:7f:12:35:4c,5866-BAA9-4940,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:08:22:0e:a6:fb,5866-BAA9-5D60,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:08:22:d2:b4:fb,70BA-EFCB-8AE0,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:15:00:e9:ab:79,5866-BAA9-5C80,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:18:e4:eb:a6:04,70BA-EFD0-06E0,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:21:6a:fe:b3:93,70BA-EFBF-3B80,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:26:c7:ec:7c:72,70BA-EFCF-6C80,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:27:15:20:f3:68,703D-157A-23E0,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:28:f8:ba:af:22,7425-8A50-3980,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:28:f8:f3:b3:71,70F9-6DD3-AC20,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:28:f8:f4:41:ec,70BA-EFD0-05C0,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:2a:f0:1b:d5:bf,5866-BAA8-8360,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:36:cb:46:0c:af,3822-D6A6-C080,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:42:38:ab:ec:a8,5866-BAA8-77E0,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:45:e2:04:e8:75,70F9-6DD3-F2A0,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:5b:94:8a:0b:0f,7425-8A50-3440,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:5b:94:96:2b:95,70F9-6DD3-D980,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:5b:94:97:17:b7,5866-BAA9-5C80,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:5b:94:9b:7c:31,70F9-6DB8-53C0,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:5b:94:a0:b4:fc,70F9-6DD4-0280,2020-12-22 08:11:39,2020-12-22 08:12:57,78
00:5b:94:a6:47:bf,5866-BAA8-5BA0,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:5b:94:a9:08:8a,210235A1GQC176004677,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:5b:94:a9:c5:ae,7425-8A50-1140,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:5b:94:ac:15:1f,70F9-6DD3-F8C0,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:5b:94:c4:96:14,5866-BAA8-9F60,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:5b:94:c9:88:68,5866-BAA8-6640,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:5b:94:ca:17:40,5866-BAA8-6840,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:5b:94:e4:85:a6,70F9-6DB7-7F80,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:5b:94:ea:27:09,5866-BAA8-A6A0,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:66:19:df:30:8d,210235A1GQC166002208,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:71:cc:93:55:83,210235A1GQC166002164,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:88:65:34:97:2e,210235A1GQC166002070,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:9d:6b:22:2b:40,5866-BAA8-5880,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:ae:fa:f2:fb:47,210235A1GQC176003847,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:b3:62:36:3b:05,7425-8A50-3580,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:b3:62:a5:a6:58,70F9-6DD3-F480,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:b3:62:a7:41:9a,5866-BAA8-6260,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:b6:91:0f:2a:1d,210235A1GQC166002038,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:bb:1c:05:95:d2,50DA-00A2-0360,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:bb:1c:36:09:43,5866-BAA8-9F60,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:bb:1c:55:44:95,5866-BAA8-8080,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:bb:1c:f3:73:59,5866-BAA9-5DA0,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:bb:1c:f8:bd:aa,210235A1GQC166002193,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:bb:1c:fa:92:1c,70F9-6DD4-01A0,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:00:8d:63,70F9-6DD3-F6A0,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:22:e9:c3,5866-BAA8-9CA0,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:be:3b:28:80:fc,5866-BAA8-9CC0,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:be:3b:2c:b7:f1,70BA-EFCB-7C40,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:be:3b:3a:c8:cb,70F9-6DD3-FA60,2020-12-22 08:11:39,2020-12-22 08:12:57,78
00:be:3b:3c:dd:1d,210235A1GQC176004053,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:3d:20:0f,5866-BAA8-7D80,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:be:3b:41:73:ee,70F9-6DD3-F8E0,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:a4:d4:e5,7425-8A88-71E0,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:be:3b:a6:03:ef,70F9-6DD4-0280,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:a6:1d:55,70BA-EFD0-1C60,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:a7:3c:1c,70BA-EFBE-2560,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:a8:c5:61,5866-BAA8-A6A0,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:be:3b:a9:e8:d6,210235A1GQC166002049,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:be:3b:c3:d0:97,70F9-6DD3-F820,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:c6:ae:48,70BA-EFCF-FC80,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:be:3b:ed:2e:2a,5866-BAA8-6860,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:c2:c6:ab:40:fa,70BA-EFCB-A700,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:c2:c6:f1:02:c0,70F9-6DD3-D840,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:cd:fe:4f:35:be,70BA-EFD0-2F20,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:db:70:40:4c:97,5866-BAA8-5AA0,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:db:70:41:cc:65,7425-8A50-3C40,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:db:70:5d:8e:a6,5866-BAA8-9E00,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:db:70:89:cf:20,70BA-EFCB-ADA0,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:db:df:aa:15:3b,70F9-6DD3-CB40,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:e0:5c:06:10:db,3822-D659-15C0,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:e1:8c:24:eb:27,70BA-EFCF-7440,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:e1:8c:31:be:74,5866-BAA8-9CC0,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:e1:8c:92:79:7b,70BA-EFD0-05C0,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:e1:8c:c4:6e:36,70BA-EFCD-4320,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:e1:8c:f3:3b:da,7425-8A88-71E0,2020-12-22 08:11:20,2020-12-22 09:04:04,3164
00:ec:0a:17:f1:da,88DF-9E7C-F8A0,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:ec:0a:e4:4b:dd,70BA-EFCF-D620,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:f4:8d:c2:c8:ff,219801A0ST915AG00431,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
00:f4:8d:c4:10:a7,70F9-6DB8-5260,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:f4:8d:c7:e5:23,210235A1GQC166002164,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:f4:8d:cf:09:6f,210235A1GQC166002239,2020-12-22 08:12:53,2020-12-22 09:04:04,3071
00:f4:8d:dc:fa:cf,88DF-9E7C-5E40,2020-12-22 08:11:39,2020-12-22 09:04:04,3145
00:f4:8d:e0:c2:1d,5866-BAA8-A1A0,2020-12-22 08:12:10,2020-12-22 09:04:04,3114
