Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
00:45:e2:05:4b:53,70BA-EFCD-4530,2020-12-09 03:24:42,2020-12-09 04:04:44,2402
00:f4:8d:b2:97:97,70BA-EFCB-9320,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
02:4c:02:00:35:4d,70BA-EFCF-CAA0,2020-12-09 03:15:36,2020-12-09 03:21:35,359
02:4c:02:00:35:4d,70BA-EFCF-CAA0,2020-12-09 03:24:37,2020-12-09 03:27:36,179
04:0e:3c:6d:20:e8,70BA-EFCB-AB20,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
04:33:c2:a8:87:07,70BA-EFCF-EF80,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
04:52:f3:42:ff:cf,70BA-EFD0-0120,2020-12-09 03:15:36,2020-12-09 03:18:35,179
04:52:f3:42:ff:cf,70BA-EFD0-0120,2020-12-09 03:18:35,2020-12-09 03:24:37,362
04:52:f3:42:ff:cf,70BA-EFD0-0120,2020-12-09 03:27:36,2020-12-09 03:28:05,29
08:d4:0c:e6:09:a6,70BA-EFCB-FB20,2020-12-09 03:15:36,2020-12-09 04:04:44,2948
08:e6:89:d0:69:2f,703D-157A-2040,2020-12-09 03:24:42,2020-12-09 04:04:44,2402
08:e6:89:d0:69:2f,703D-157A-2040,2020-12-09 03:18:41,2020-12-09 03:24:42,361
08:e6:89:d0:69:2f,703D-157A-2300,2020-12-09 03:15:41,2020-12-09 03:18:41,180
0c:25:76:03:81:20,70BA-EFCB-AD60,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
0c:3b:50:1c:bd:f1,70BA-EFCB-7C40,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
0e:55:77:42:17:d4,70BA-EFCB-7DA0,2020-12-09 03:15:36,2020-12-09 04:04:44,2948
10:08:b1:d6:1c:d5,70BA-EFCB-79A0,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
10:08:b1:db:00:d3,70BA-EFCF-B380,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
10:63:c8:f1:8f:cd,70BA-EFCB-A820,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
14:47:2d:be:ab:a3,5866-BAA8-5CA0,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
14:4f:8a:ea:5e:75,70BA-EFCF-9040,2020-12-09 03:15:36,2020-12-09 03:21:35,359
14:95:ce:ee:60:a4,703D-157A-2460,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
16:cc:e3:f0:ef:64,70BA-EFCB-8940,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
1a:e3:73:f9:c5:fc,70BA-EFCF-E8C0,2020-12-09 03:24:42,2020-12-09 04:04:44,2402
1a:e3:73:f9:c5:fc,70BA-EFCF-E8C0,2020-12-09 03:15:41,2020-12-09 03:21:47,366
1a:e3:73:f9:c5:fc,70BA-EFCF-E8E0,2020-12-09 03:21:47,2020-12-09 03:24:42,175
1c:bf:c0:6c:ec:9a,70BA-EFCF-56E0,2020-12-09 03:27:36,2020-12-09 03:33:34,358
1c:bf:c0:6c:ec:9a,70BA-EFCF-E260,2020-12-09 03:15:36,2020-12-09 03:27:36,720
20:0d:b0:35:60:d8,70BA-EFCB-F6C0,2020-12-09 03:15:41,2020-12-09 04:04:44,2943
20:54:fa:3c:6b:08,70BA-EFCF-ED80,2020-12-09 03:15:36,2020-12-09 03:21:35,359
20:54:fa:3c:6b:08,70BA-EFD0-1840,2020-12-09 03:21:35,2020-12-09 04:04:44,2589
20:82:6a:4d:0d:fd,70BA-EFCF-C4E0,2020-12-09 03:15:36,2020-12-09 04:04:44,2948
