Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
00:26:c7:54:2c:f4,70BA-EFCF-9B00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:5b:94:99:2f:f2,70BA-EFCD-3B70,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:5b:94:a4:1e:70,70BA-EFCF-6040,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:b3:62:a0:4c:5f,70BA-EFCF-EE40,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:be:3b:c0:d3:13,70BA-EFCF-E1E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:cd:fe:7c:06:ee,70BA-EFCF-6040,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:db:df:68:17:3a,210235A1GQC14A001432,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:db:df:75:76:3c,70BA-EFCB-FBC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:db:df:ae:33:f5,70BA-EFCD-3B70,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:db:df:d9:76:d2,70BA-EFCF-D600,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:db:df:dc:cd:69,70BA-EFCF-D760,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
00:f4:8d:e0:c2:1d,70BA-EFCF-A240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
02:19:7e:12:98:1f,70BA-EFCF-E160,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
02:46:dd:d1:5a:de,70BA-EFCD-3180,2020-12-27 14:26:10,2020-12-27 14:38:57,767
02:57:f7:9b:14:90,7425-8A50-4BC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
02:b5:54:a1:f7:fa,70BA-EFCF-DA80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
02:c4:6a:54:9e:5c,70BA-EFCB-F700,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
04:33:c2:8c:7f:bc,70BA-EFCB-F5E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
04:b1:67:5e:3b:f2,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
06:32:e3:81:df:74,70BA-EFCF-E840,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
06:4d:37:a3:e9:4f,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
06:56:0f:da:67:3d,7425-8A50-1240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:10:7b:56:f7:c7,70BA-EFCB-FE80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:23:b2:3f:71:9e,7425-8A50-1240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:23:b2:bd:f6:7b,70BA-EFCF-E2E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:3e:8e:a4:53:91,70BA-EFCB-FDC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:4a:cf:87:6f:61,70BA-EFCF-61E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:5b:d6:53:83:0b,70BA-EFCB-F1E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:5b:d6:59:88:1e,70BA-EFCB-FCC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:71:90:3b:2e:19,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:71:90:3c:9e:cf,70BA-EFCF-9C20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:71:90:a8:ba:2e,70BA-EFCB-F460,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:d4:0c:b2:e8:64,210235A1GQC14A001007,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:ed:b9:f2:2b:87,70BA-EFCB-F9C0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
08:f8:bc:65:71:a0,70BA-EFCF-9FC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0a:63:83:a0:54:c3,70BA-EFCF-61E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0a:b8:7f:3e:9b:4a,70BA-EFCB-F340,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0a:d1:d3:b4:80:99,70BA-EFCB-EFE0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:2c:54:0e:a7:27,70BA-EFCF-A240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:3b:50:1e:e5:ca,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:54:15:3b:8c:92,70BA-EFCB-F340,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:54:15:a3:cc:1c,70BA-EFCF-A240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:70:4a:8f:96:5f,70BA-EFCF-6040,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:7a:15:9c:5d:47,70BA-EFCB-F660,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:8f:ff:19:06:39,7425-8A50-3540,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:b5:27:7b:f9:f1,70BA-EFCF-E2E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:b5:27:f0:d4:b2,70BA-EFCF-EE40,2020-12-27 14:26:10,2020-12-27 15:04:05,2275
0c:dd:24:18:98:e0,210235A1GQC14A001432,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0c:dd:24:90:49:c6,70BA-EFCF-9B40,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
0e:d1:43:d0:21:f1,70BA-EFCF-DF60,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:08:b1:3d:fb:1b,70BA-EFCF-FD00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:29:59:04:69:8c,3822-D6A6-CEB0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:29:59:0a:2b:22,70BA-EFCF-DE80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:29:59:3f:03:11,7425-8A50-43E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:30:25:67:a4:ef,70BA-EFCF-E3E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:30:25:9a:98:b2,70BA-EFCF-FD00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:44:00:6b:d0:1a,70BA-EFCB-FB60,2020-12-27 14:26:10,2020-12-27 14:39:15,785
10:44:00:c4:e1:fb,70BA-EFCB-F9E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:5b:ad:58:2a:ef,70BA-EFCF-F700,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:5b:ad:5f:e9:2d,219801A11S9191Q000VM,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:63:c8:46:ce:db,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
10:f0:05:9a:ed:e5,70BA-EFCF-D600,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
12:85:7a:98:0b:66,70BA-EFCF-E3E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
12:da:ad:d5:a0:b1,219801A0ST915AG00704,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:20:5e:f0:b4:93,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:3c:c3:82:0d:4a,70BA-EFCF-E240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:4f:8a:20:ff:80,70BA-EFCB-F440,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:4f:8a:2b:bc:95,70BA-EFCB-F9E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:4f:8a:48:02:fb,70BA-EFCB-F680,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:4f:8a:60:a8:c9,70BA-EFD0-0280,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:77:40:72:42:80,70BA-EFCD-3180,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:77:40:df:d9:5f,7425-8A50-43E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:7d:da:19:98:37,70BA-EFCF-9FC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:7d:da:85:fa:cc,70BA-EFCF-DA00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:95:ce:67:99:1e,70BA-EFCF-E2E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:9d:99:b5:52:01,70BA-EFCB-F120,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:9d:99:ba:b4:cc,210235A1GQC14A001432,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:c6:97:95:65:23,70BA-EFCF-E2E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:c6:97:aa:51:bf,70BA-EFCB-FE80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:d1:69:59:cf:1d,70BA-EFCF-6040,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:d1:69:d9:82:3e,70BA-EFCD-3B70,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
14:f6:d8:12:a8:8b,70BA-EFCF-EF00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
16:01:f9:cc:8e:25,70BA-EFCB-F6E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
16:32:59:d1:e5:9f,70BA-EFCB-F460,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
16:cc:ec:7f:37:a5,70BA-EFCF-8EE0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:1d:ea:4e:af:07,70BA-EFCF-DE80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:3e:ef:cc:b4:be,70BA-EFCF-DA80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:56:80:84:8c:80,70BA-EFCB-EF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:70:3b:52:b5:f1,70BA-EFCB-EFC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:70:3b:d5:74:73,7425-8A50-43E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:70:3b:f2:41:99,70BA-EFD0-0280,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:7e:b9:b1:5f:c1,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:7e:b9:db:70:80,5866-BAA8-6D80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
18:f0:e4:20:87:3c,70BA-EFCB-F6E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1a:79:c6:bc:6e:26,70BA-EFCF-E3E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1a:8e:da:93:c8:25,3822-D6A6-CEB0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:1b:b5:60:f7:93,70BA-EFCF-DE80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:1b:b5:63:c6:c1,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:1b:b5:9c:25:ca,70BA-EFD0-0280,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:3e:84:e1:40:b1,70BA-EFD0-0400,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:67:58:08:1f:62,5866-BAA8-A2A0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:b7:96:b6:5f:c4,70BA-EFCB-F340,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:b7:96:dc:94:ed,70BA-EFCF-9B40,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:bf:c0:37:1c:55,70BA-EFCB-FA60,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:bf:c0:88:30:1d,5866-BAA8-6080,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1c:bf:c0:c0:4a:01,70BA-EFCF-61E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1e:99:b8:75:d2:1b,70BA-EFCF-9FC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1e:b9:37:1a:fe:fa,70BA-EFCB-EF60,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1e:cb:1f:7d:6a:5c,70BA-EFCF-D680,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
1e:cf:40:35:2f:77,7425-8A50-14E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:0d:b0:44:4e:a9,70BA-EFCF-E360,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:31:1c:66:1f:ad,7425-8A50-3DE0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:34:fb:1a:41:3f,70BA-EFCF-E840,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:47:da:be:c2:34,70BA-EFCF-FD00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:54:fa:5d:1c:ed,70BA-EFCB-FF60,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:cd:6e:f7:e5:6b,70BA-EFCF-DC20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:da:22:57:c5:bf,70BA-EFCF-A060,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:da:22:c9:f5:45,70BA-EFCF-DFE0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:f4:78:01:4f:bf,3822-D6A6-CEB0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
20:f7:7c:5b:c0:63,70BA-EFCF-DA80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
22:1a:b8:22:59:b5,7425-8A50-3DE0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
22:2c:ce:f2:0f:54,70BA-EFCF-E2E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
22:7d:12:94:ec:79,70BA-EFCF-DCC0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:24:0e:1f:d2:de,70BA-EFCB-F6E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:2e:02:27:c0:39,70BA-EFCB-F020,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:31:54:2c:fd:44,3822-D6A6-CEB0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:31:54:e3:bc:14,70BA-EFCB-F240,2020-12-27 14:26:10,2020-12-27 14:51:28,1518
24:41:8c:eb:07:67,70BA-EFCF-DE80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:6f:8c:6e:d4:18,7425-8A50-1240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:da:33:b1:d2:94,5866-BAA8-5760,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:da:33:b2:83:bd,3822-D6A6-CEB0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:da:33:b5:27:8a,70BA-EFCF-DCA0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:f6:77:4c:0d:25,70BA-EFCF-9CA0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:fb:65:4a:6e:17,70BA-EFCB-F9E0,2020-12-27 14:26:10,2020-12-27 14:36:20,610
24:fd:52:a6:48:83,70BA-EFCF-D580,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:fd:52:be:55:cd,70BA-EFCF-9B00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
24:fd:52:f3:06:e0,70BA-EFCF-9CA0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
26:c5:2e:8a:3f:8d,70BA-EFD0-1A80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
26:ce:55:53:22:bd,70BA-EFCF-61E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
28:16:7f:e3:cb:a0,70BA-EFCF-DA00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
28:31:66:ca:d6:ed,7425-8A50-43E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
28:3a:4d:2b:7d:69,70BA-EFCB-FC40,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
28:77:f1:bf:2d:b7,70BA-EFCF-DE80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
28:7f:cf:19:78:b4,70BA-EFCB-F340,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
28:7f:cf:a2:44:cd,70BA-EFCB-FF20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
28:e3:47:62:b6:2f,70BA-EFD0-0400,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
28:e3:47:69:ab:35,70BA-EFCF-E340,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
2c:6f:c9:4d:61:4b,70BA-EFCF-DF60,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
2c:d0:66:75:84:e1,70BA-EFCD-3B70,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
2c:db:07:57:6b:33,70BA-EFCB-F640,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
2e:3a:25:1c:b7:7b,70BA-EFCB-FFE0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
2e:7e:7f:68:a5:5e,70BA-EFCF-DA20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:24:32:cf:1c:50,70BA-EFCF-A240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:3a:64:b2:81:71,70BA-EFCF-E2E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:3a:64:f5:5f:aa,70BA-EFCF-E420,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:45:96:b5:e6:f1,70BA-EFCB-F340,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:52:cb:e0:77:1a,70BA-EFCF-DA80,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:57:14:02:c9:97,70BA-EFCF-E340,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:a1:fa:71:fa:b5,70BA-EFCB-F660,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:a1:fa:b2:a1:dd,70BA-EFCF-DC20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:a1:fa:d4:12:fc,70BA-EFCF-F700,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:b4:9e:c4:6c:65,70BA-EFCF-F700,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:b4:9e:d5:8f:e6,70BA-EFCF-D600,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:d9:d9:c3:13:5f,70BA-EFCD-0FF0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:e3:7a:24:14:c7,70BA-EFCB-F340,2020-12-27 14:26:10,2020-12-27 14:48:10,1320
30:e3:7a:24:8e:89,70BA-EFCF-DFE0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
30:e3:7a:59:4d:3b,70BA-EFCF-E6E0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
32:23:d4:fe:7a:a1,70BA-EFCF-D580,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
32:5e:66:d8:f9:34,70BA-EFCD-0FF0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
32:7b:b5:ba:7a:89,5866-BAA8-5E20,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
32:f9:6d:18:87:e6,70BA-EFCF-6060,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
32:fd:6a:23:b3:f9,70BA-EFCB-EE60,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
34:23:87:21:24:8d,70BA-EFCF-9B00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
34:2e:b6:4b:79:ae,70BA-EFCF-E840,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
34:2e:b6:d1:48:2a,70BA-EFCF-A240,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
34:2e:b6:ef:a9:f6,70BA-EFCF-DCA0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
34:2e:b7:ef:2d:15,70BA-EFCB-EE60,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
34:36:3b:d0:41:30,70BA-EFCF-FD00,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
34:41:5d:aa:67:c0,219801A0ST915AG01152,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
34:68:95:a2:97:29,70BA-EFCB-FFE0,2020-12-27 14:26:10,2020-12-27 15:04:13,2283
