Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
34:1c:f0:46:2e:bd,5869.6ccd.6c4c,2020-12-18 20:00:00,2020-12-18 20:00:10,10
34:1c:f0:46:2e:bd,5869.6ccd.6c4c,2020-12-18 20:00:10,2020-12-18 20:00:13,3
34:1c:f0:46:2e:bd,5869.6ccd.6b24,2020-12-18 20:00:13,2020-12-18 20:00:18,5
34:1c:f0:46:2e:bd,5869.6ccd.6c6c,2020-12-18 20:16:09,2020-12-18 20:16:13,4
34:1c:f0:46:2e:bd,5869.6ccd.6eae,2020-12-18 20:16:14,2020-12-18 20:16:19,5
34:1c:f0:46:2e:bd,5869.6ccd.6c30,2020-12-18 20:16:19,2020-12-18 20:16:41,22
34:1c:f0:46:2e:bd,5869.6ccd.6f40,2020-12-18 20:16:41,2020-12-18 20:16:50,9
34:1c:f0:46:2e:bd,5869.6ccd.6c68,2020-12-18 20:16:50,2020-12-18 20:17:00,10
34:1c:f0:46:2e:bd,5869.6ccd.6d44,2020-12-18 20:17:00,2020-12-18 20:17:10,10
34:1c:f0:46:2e:bd,5869.6ccd.6d6c,2020-12-18 20:17:10,2020-12-18 20:17:22,12
34:1c:f0:46:2e:bd,5869.6ccd.6644,2020-12-18 20:17:22,2020-12-18 20:17:26,4
34:1c:f0:46:2e:bd,5869.6ccd.6358,2020-12-18 20:17:26,2020-12-18 20:17:33,7
34:1c:f0:46:2e:bd,5869.6ccd.6d6c,2020-12-18 20:17:33,2020-12-18 20:17:35,2
34:1c:f0:46:2e:bd,5869.6ccd.6358,2020-12-18 20:17:35,2020-12-18 20:17:43,8
34:1c:f0:46:2e:bd,5869.6ccd.6d6c,2020-12-18 20:17:43,2020-12-18 20:18:15,32
34:1c:f0:46:2e:bd,5869.6cc9.d82e,2020-12-18 20:18:15,2020-12-18 20:18:16,1
34:1c:f0:46:2e:bd,5869.6ccd.6bc0,2020-12-18 20:18:16,2020-12-18 20:18:20,4
34:1c:f0:46:2e:bd,5869.6ccd.6f56,2020-12-18 20:18:20,2020-12-18 20:18:28,8
34:1c:f0:46:2e:bd,5869.6ccd.63b2,2020-12-18 20:18:28,2020-12-18 20:18:47,19
34:1c:f0:46:2e:bd,5869.6ccd.6f56,2020-12-18 20:18:47,2020-12-18 20:28:46,599
12:e5:61:5b:89:8f,8005.885a.b38a,2020-12-18 20:00:00,2020-12-18 19:59:58,-2
12:e5:61:5b:89:8f,8005.885a.b38a,2020-12-18 19:59:58,2020-12-18 21:00:00,3602
d2:4a:91:d9:db:c0,5869.6ccd.6ec0,2020-12-18 19:59:58,2020-12-18 20:00:43,45
d2:4a:91:d9:db:c0,5869.6ccd.6182,2020-12-18 20:00:43,2020-12-18 21:00:00,3557
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:00:00,2020-12-18 19:59:58,-2
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:04:34,2020-12-18 20:04:47,13
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:04:48,2020-12-18 20:04:56,8
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:05:43,2020-12-18 20:05:54,11
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:06:10,2020-12-18 20:06:22,12
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:06:23,2020-12-18 20:06:23,0
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:06:31,2020-12-18 20:07:18,47
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:07:29,2020-12-18 20:08:02,33
14:95:ce:66:ac:47,5869.6ccd.69f6,2020-12-18 20:08:14,2020-12-18 20:08:15,1
24:da:33:ea:e7:8b,8005.885a.b4e0,2020-12-18 20:00:00,2020-12-18 19:59:58,-2
b2:2d:3b:22:04:fd,5869.6ccd.6260,2020-12-18 20:00:00,2020-12-18 19:59:58,-2
b2:2d:3b:22:04:fd,5869.6ccd.673c,2020-12-18 19:59:59,2020-12-18 20:00:13,14
b2:2d:3b:22:04:fd,5869.6ccd.6116,2020-12-18 20:00:13,2020-12-18 20:05:19,306
b2:2d:3b:22:04:fd,5869.6ccd.6eb0,2020-12-18 20:10:31,2020-12-18 20:10:49,18
b2:2d:3b:22:04:fd,5869.6ccd.6c6e,2020-12-18 20:10:49,2020-12-18 20:11:12,23
b2:2d:3b:22:04:fd,5869.6ccd.6142,2020-12-18 20:11:12,2020-12-18 20:12:02,50
b2:2d:3b:22:04:fd,5869.6ccd.69da,2020-12-18 20:12:02,2020-12-18 20:12:16,14
b2:2d:3b:22:04:fd,5869.6ccd.6740,2020-12-18 20:12:16,2020-12-18 20:13:53,97
b2:2d:3b:22:04:fd,5869.6ccd.6948,2020-12-18 20:13:53,2020-12-18 21:00:00,2767
d4:62:ea:02:84:b8,5869.6ccd.6a26,2020-12-18 20:00:00,2020-12-18 19:59:58,-2
d4:62:ea:02:84:b8,5869.6ccd.6b24,2020-12-18 19:59:59,2020-12-18 20:00:22,23
d4:62:ea:02:84:b8,5869.6ccd.6f46,2020-12-18 20:00:22,2020-12-18 20:00:36,14
d4:62:ea:02:84:b8,5869.6ccd.6c96,2020-12-18 20:00:36,2020-12-18 20:01:19,43
d4:62:ea:02:84:b8,5869.6ccd.6d7c,2020-12-18 20:01:19,2020-12-18 20:03:10,111
d4:62:ea:02:84:b8,5869.6ccd.6314,2020-12-18 20:03:10,2020-12-18 20:04:28,78
d4:62:ea:02:84:b8,5869.6ccd.6d7c,2020-12-18 20:04:28,2020-12-18 20:05:17,49
d4:62:ea:02:84:b8,5869.6ccd.6314,2020-12-18 20:32:08,2020-12-18 20:48:59,1011
52:69:48:8b:16:35,5869.6ccd.6e76,2020-12-18 19:59:58,2020-12-18 20:00:18,20
52:69:48:8b:16:35,5869.6ccd.6f5c,2020-12-18 20:00:18,2020-12-18 20:00:18,0
52:69:48:8b:16:35,5869.6ccd.6cc8,2020-12-18 20:00:18,2020-12-18 20:00:23,5
52:69:48:8b:16:35,5869.6ccd.6a26,2020-12-18 20:00:23,2020-12-18 20:00:31,8
52:69:48:8b:16:35,5869.6cc9.d7ea,2020-12-18 20:00:31,2020-12-18 20:00:53,22
52:69:48:8b:16:35,5869.6ccd.6580,2020-12-18 20:00:53,2020-12-18 20:01:10,17
52:69:48:8b:16:35,5869.6ccd.6644,2020-12-18 20:01:10,2020-12-18 20:01:16,6
52:69:48:8b:16:35,5869.6ccd.6580,2020-12-18 20:01:16,2020-12-18 20:03:17,121
52:69:48:8b:16:35,5869.6ccd.63b2,2020-12-18 20:03:17,2020-12-18 20:05:03,106
52:69:48:8b:16:35,5869.6ccd.6122,2020-12-18 20:05:03,2020-12-18 20:05:13,10
52:69:48:8b:16:35,5869.6ccd.622e,2020-12-18 20:05:13,2020-12-18 20:05:31,18
52:69:48:8b:16:35,5869.6ccd.6c6c,2020-12-18 20:05:31,2020-12-18 20:05:47,16
52:69:48:8b:16:35,5869.6ccd.63e6,2020-12-18 20:05:47,2020-12-18 20:06:09,22
52:69:48:8b:16:35,5869.6ccd.6e1c,2020-12-18 20:06:09,2020-12-18 20:06:27,18
52:69:48:8b:16:35,5869.6ccd.6c32,2020-12-18 20:06:27,2020-12-18 20:06:46,19
52:69:48:8b:16:35,5869.6ccd.69f0,2020-12-18 20:06:46,2020-12-18 20:06:55,9
52:69:48:8b:16:35,5869.6ccd.6c1e,2020-12-18 20:06:55,2020-12-18 20:07:45,50
52:69:48:8b:16:35,5869.6ccd.69f0,2020-12-18 20:07:45,2020-12-18 21:00:00,3135
e4:0e:ee:71:0f:e8,5869.6ccd.63e6,2020-12-18 20:00:00,2020-12-18 19:59:58,-2
e4:0e:ee:71:0f:e8,5869.6ccd.63e6,2020-12-18 19:59:58,2020-12-18 20:00:14,16
e4:0e:ee:71:0f:e8,5869.6ccd.6c26,2020-12-18 20:00:14,2020-12-18 20:00:33,19
e4:0e:ee:71:0f:e8,5869.6ccd.6e1c,2020-12-18 20:00:33,2020-12-18 20:00:41,8
e4:0e:ee:71:0f:e8,5869.6c9f.86aa,2020-12-18 20:00:41,2020-12-18 20:01:37,56
e4:0e:ee:71:0f:e8,5869.6ccd.6c32,2020-12-18 20:01:37,2020-12-18 21:00:00,3503
