Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
cc:d2:81:dd:8d:14,5869.6ccd.6ec0,2020-12-24 08:00:00,2020-12-24 07:59:59,-1
cc:d2:81:dd:8d:14,5869.6ccd.6ec0,2020-12-24 07:59:59,2020-12-24 08:00:26,27
cc:d2:81:dd:8d:14,5869.6ccd.6f5e,2020-12-24 08:00:26,2020-12-24 08:06:09,343
f0:99:b6:cf:a7:5f,5869.6ccd.69e6,2020-12-24 08:00:00,2020-12-24 07:59:52,-8
f0:99:b6:cf:a7:5f,5869.6ccd.69e6,2020-12-24 07:59:52,2020-12-24 08:00:08,16
f0:99:b6:cf:a7:5f,5869.6ccd.6f56,2020-12-24 08:00:08,2020-12-24 08:00:24,16
f0:99:b6:cf:a7:5f,5869.6cc9.d82e,2020-12-24 08:00:24,2020-12-24 08:00:52,28
f0:99:b6:cf:a7:5f,5869.6ccd.6f56,2020-12-24 08:00:52,2020-12-24 08:01:01,9
f0:99:b6:cf:a7:5f,5869.6ccd.63b2,2020-12-24 08:01:01,2020-12-24 08:01:38,37
f0:99:b6:cf:a7:5f,5869.6ccd.6358,2020-12-24 08:01:38,2020-12-24 08:01:50,12
f0:99:b6:cf:a7:5f,5869.6ccd.6d6c,2020-12-24 08:01:50,2020-12-24 08:02:31,41
f0:99:b6:cf:a7:5f,5869.6cc9.d7ea,2020-12-24 08:02:31,2020-12-24 08:02:41,10
f0:99:b6:cf:a7:5f,5869.6ccd.6d8e,2020-12-24 08:02:41,2020-12-24 08:02:45,4
f0:99:b6:cf:a7:5f,5869.6cc9.d7ea,2020-12-24 08:02:45,2020-12-24 08:02:54,9
f0:99:b6:cf:a7:5f,5869.6ccd.6a26,2020-12-24 08:02:54,2020-12-24 08:03:15,21
f0:99:b6:cf:a7:5f,5869.6ccd.6f54,2020-12-24 08:03:15,2020-12-24 08:03:28,13
f0:99:b6:cf:a7:5f,5869.6ccd.617c,2020-12-24 08:03:28,2020-12-24 08:03:40,12
f0:99:b6:cf:a7:5f,5869.6ccd.6c96,2020-12-24 08:03:40,2020-12-24 08:03:44,4
f0:99:b6:cf:a7:5f,5869.6ccd.6f46,2020-12-24 08:03:44,2020-12-24 08:04:07,23
f0:99:b6:cf:a7:5f,5869.6ccd.6c96,2020-12-24 08:04:07,2020-12-24 08:04:07,0
f0:99:b6:cf:a7:5f,5869.6ccd.6c46,2020-12-24 08:04:07,2020-12-24 08:04:27,20
f0:99:b6:cf:a7:5f,5869.6ccd.6182,2020-12-24 08:04:27,2020-12-24 08:05:02,35
f0:99:b6:cf:a7:5f,5869.6ccd.6ec0,2020-12-24 08:05:02,2020-12-24 08:10:08,306
96:3e:fd:8d:29:05,5869.6ccd.6ea8,2020-12-24 08:00:00,2020-12-24 07:59:53,-7
96:3e:fd:8d:29:05,5869.6ccd.6ea8,2020-12-24 07:59:53,2020-12-24 08:00:25,32
96:3e:fd:8d:29:05,5869.6ccd.6ec0,2020-12-24 08:00:25,2020-12-24 08:05:59,334
ce:6c:ad:ca:16:99,5869.6ccd.6f40,2020-12-24 08:00:00,2020-12-24 07:59:53,-7
ce:6c:ad:ca:16:99,5869.6ccd.6f40,2020-12-24 07:59:53,2020-12-24 07:59:58,5
ce:6c:ad:ca:16:99,5869.6ccd.6d8e,2020-12-24 07:59:58,2020-12-24 08:00:19,21
ce:6c:ad:ca:16:99,5869.6ccd.6a26,2020-12-24 08:00:19,2020-12-24 08:00:25,6
ce:6c:ad:ca:16:99,5869.6ccd.6b24,2020-12-24 08:00:26,2020-12-24 08:00:40,14
ce:6c:ad:ca:16:99,5869.6ccd.6f46,2020-12-24 08:00:40,2020-12-24 08:01:02,22
ce:6c:ad:ca:16:99,5869.6ccd.6c96,2020-12-24 08:01:02,2020-12-24 08:01:28,26
ce:6c:ad:ca:16:99,5869.6ccd.6ec0,2020-12-24 08:01:28,2020-12-24 08:02:00,32
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 07:59:53,2020-12-24 08:00:18,25
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:04:33,2020-12-24 08:04:46,13
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:06:54,2020-12-24 08:07:06,12
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:07:52,2020-12-24 08:25:58,1086
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:27:42,2020-12-24 08:30:02,140
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:39:32,2020-12-24 08:39:46,14
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:47:00,2020-12-24 08:49:43,163
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:49:47,2020-12-24 08:50:00,13
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:50:08,2020-12-24 08:50:41,33
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:51:11,2020-12-24 08:51:23,12
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:52:39,2020-12-24 08:55:29,170
b8:90:47:ec:d6:cb,5869.6ccd.673c,2020-12-24 08:55:56,2020-12-24 09:00:00,244
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 07:59:53,2020-12-24 08:00:00,7
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:06:11,2020-12-24 08:06:27,16
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:16:02,2020-12-24 08:16:08,6
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:22:19,2020-12-24 08:22:29,10
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:26:14,2020-12-24 08:26:31,17
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:36:07,2020-12-24 08:36:14,7
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:44:49,2020-12-24 08:44:56,7
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:45:53,2020-12-24 08:46:00,7
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:47:00,2020-12-24 08:47:16,16
2a:67:e2:0d:37:77,5869.6ccd.6dac,2020-12-24 08:56:52,2020-12-24 08:56:59,7
90:f0:52:91:35:f0,5869.6ccd.67a0,2020-12-24 08:00:00,2020-12-24 07:59:53,-7
90:f0:52:91:35:f0,5869.6ccd.67a0,2020-12-24 07:59:53,2020-12-24 08:00:16,23
90:f0:52:91:35:f0,5869.6cc9.d7ea,2020-12-24 08:00:16,2020-12-24 08:01:53,97
90:f0:52:91:35:f0,5869.6ccd.6f40,2020-12-24 08:01:53,2020-12-24 08:02:06,13
90:f0:52:91:35:f0,5869.6ccd.6e76,2020-12-24 08:02:06,2020-12-24 08:02:31,25
90:f0:52:91:35:f0,5869.6ccd.6428,2020-12-24 08:02:31,2020-12-24 08:02:52,21
90:f0:52:91:35:f0,5869.6ccd.6ece,2020-12-24 08:02:52,2020-12-24 08:08:22,330
