Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
f8:c3:9e:87:0a:13,5869.6ccd.6c72,2020-12-12 13:00:04,2020-12-12 13:00:27,23
f8:c3:9e:87:0a:13,5869.6ccd.6c72,2020-12-12 13:00:36,2020-12-12 13:00:52,16
f8:c3:9e:87:0a:13,8005.880e.0c32,2020-12-12 13:00:52,2020-12-12 13:01:47,55
f8:c3:9e:87:0a:13,5869.6ccd.6d52,2020-12-12 13:04:17,2020-12-12 13:04:41,24
f8:c3:9e:87:0a:13,5869.6ccd.613c,2020-12-12 13:04:41,2020-12-12 13:05:09,28
f8:c3:9e:87:0a:13,5869.6cc9.dbb6,2020-12-12 13:05:09,2020-12-12 13:05:25,16
f8:c3:9e:87:0a:13,5869.6ccd.613c,2020-12-12 13:05:25,2020-12-12 13:05:35,10
f8:c3:9e:87:0a:13,5869.6ccd.6d5c,2020-12-12 13:05:35,2020-12-12 13:05:49,14
f8:c3:9e:87:0a:13,5869.6ccd.6e34,2020-12-12 13:05:49,2020-12-12 14:00:00,3251
ce:f0:1f:fe:29:fd,5869.6ccd.6b82,2020-12-12 13:00:00,2020-12-12 12:59:57,-3
ce:f0:1f:fe:29:fd,5869.6ccd.6b82,2020-12-12 12:59:57,2020-12-12 13:04:05,248
ce:f0:1f:fe:29:fd,5869.6ccd.699e,2020-12-12 13:04:05,2020-12-12 13:29:22,1517
ce:f0:1f:fe:29:fd,5869.6ccd.6c50,2020-12-12 13:29:22,2020-12-12 13:29:32,10
ce:f0:1f:fe:29:fd,5869.6ccd.699e,2020-12-12 13:29:32,2020-12-12 14:00:00,1828
dc:90:88:3a:9d:33,5869.6ccd.61a6,2020-12-12 12:59:57,2020-12-12 14:00:00,3603
54:33:cb:5c:78:e0,5869.6ccd.6c50,2020-12-12 13:00:00,2020-12-12 12:59:58,-2
54:33:cb:5c:78:e0,5869.6ccd.6c50,2020-12-12 12:59:58,2020-12-12 13:00:00,2
54:33:cb:5c:78:e0,5869.6ccd.6c2a,2020-12-12 13:00:00,2020-12-12 13:00:02,2
54:33:cb:5c:78:e0,5869.6ccd.6264,2020-12-12 13:00:02,2020-12-12 13:00:06,4
54:33:cb:5c:78:e0,5869.6ccd.6c50,2020-12-12 13:00:06,2020-12-12 13:00:07,1
54:33:cb:5c:78:e0,5869.6ccd.6264,2020-12-12 13:00:07,2020-12-12 13:00:15,8
54:33:cb:5c:78:e0,5869.6ccd.6c2a,2020-12-12 13:00:15,2020-12-12 13:00:25,10
54:33:cb:5c:78:e0,5869.6ccd.696e,2020-12-12 13:00:25,2020-12-12 13:00:29,4
54:33:cb:5c:78:e0,5869.6ccd.6c72,2020-12-12 13:00:29,2020-12-12 13:00:41,12
54:33:cb:5c:78:e0,5869.6ccd.696e,2020-12-12 13:00:41,2020-12-12 13:01:06,25
54:33:cb:5c:78:e0,5869.6ccd.6b82,2020-12-12 13:01:06,2020-12-12 13:01:27,21
54:33:cb:5c:78:e0,5869.6ccd.69c4,2020-12-12 13:01:27,2020-12-12 13:01:47,20
54:33:cb:5c:78:e0,5869.6ccd.6c8c,2020-12-12 13:01:47,2020-12-12 13:01:52,5
