Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:01:07,2020-12-05 10:01:51,44
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:10:22,2020-12-05 10:10:28,6
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:11:00,2020-12-05 10:11:10,10
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:11:22,2020-12-05 10:11:27,5
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:15:29,2020-12-05 10:15:40,11
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:18:52,2020-12-05 10:19:06,14
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:23:54,2020-12-05 10:23:59,5
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:27:40,2020-12-05 10:27:45,5
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:31:13,2020-12-05 10:31:28,15
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:38:41,2020-12-05 10:38:54,13
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:43:22,2020-12-05 10:43:33,11
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:44:04,2020-12-05 10:44:11,7
96:21:5f:58:9b:2f,5869.6ccd.6a00,2020-12-05 10:49:14,2020-12-05 10:49:27,13
84:c5:a6:44:d6:fd,5869.6ccd.61a6,2020-12-05 09:59:59,2020-12-05 11:00:00,3601
a4:c9:39:68:33:f5,5869.6ccd.69d8,2020-12-05 10:00:00,2020-12-05 09:59:59,-1
a4:c9:39:68:33:f5,5869.6ccd.69d8,2020-12-05 09:59:59,2020-12-05 10:00:12,13
a4:c9:39:68:33:f5,5869.6cc9.dc1a,2020-12-05 10:00:12,2020-12-05 10:00:14,2
a4:c9:39:68:33:f5,5869.6ccd.6c08,2020-12-05 10:00:14,2020-12-05 10:00:31,17
a4:c9:39:68:33:f5,5869.6ccd.6d10,2020-12-05 10:00:31,2020-12-05 10:00:49,18
a4:c9:39:68:33:f5,5869.6ccd.69d8,2020-12-05 10:00:49,2020-12-05 10:00:55,6
a4:c9:39:68:33:f5,5869.6ccd.6d10,2020-12-05 10:00:55,2020-12-05 10:01:34,39
