Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
94:87:e0:19:b4:9f,5869.6ccd.6d50,2020-12-18 13:00:03,2020-12-18 13:01:26,83
94:87:e0:19:b4:9f,5869.6cc9.db52,2020-12-18 13:05:56,2020-12-18 13:12:35,399
b4:40:a4:5a:4e:88,5869.6ccd.6ec0,2020-12-18 13:00:00,2020-12-18 12:59:53,-7
f0:0f:ec:b6:33:48,5869.6ccd.6258,2020-12-18 13:00:00,2020-12-18 12:59:53,-7
f0:0f:ec:b6:33:48,5869.6ccd.6258,2020-12-18 13:04:12,2020-12-18 13:04:41,29
f0:0f:ec:b6:33:48,5869.6ccd.6258,2020-12-18 13:13:56,2020-12-18 13:14:54,58
4c:6b:e8:a6:e6:e3,8005.885a.b68a,2020-12-18 13:00:00,2020-12-18 12:59:53,-7
4c:6b:e8:a6:e6:e3,8005.885a.b68a,2020-12-18 12:59:53,2020-12-18 13:04:58,305
52:13:35:92:fd:7a,300d.9ea8.a068,2020-12-18 13:00:04,2020-12-18 13:05:45,341
52:13:35:92:fd:7a,0074.9ca8.06f1,2020-12-18 13:09:52,2020-12-18 13:11:02,70
52:13:35:92:fd:7a,8005.885a.b594,2020-12-18 13:11:02,2020-12-18 13:11:59,57
52:13:35:92:fd:7a,8005.885a.b52e,2020-12-18 13:11:59,2020-12-18 13:12:13,14
52:13:35:92:fd:7a,8005.885a.b6e4,2020-12-18 13:12:26,2020-12-18 13:12:59,33
52:13:35:92:fd:7a,300d.9ea8.95b9,2020-12-18 13:12:59,2020-12-18 13:13:20,21
52:13:35:92:fd:7a,0074.9c74.d130,2020-12-18 13:13:20,2020-12-18 14:00:00,2800
18:e7:77:3e:b6:c1,8005.885a.b696,2020-12-18 12:59:53,2020-12-18 13:00:17,24
18:e7:77:3e:b6:c1,8005.885a.b4aa,2020-12-18 13:00:17,2020-12-18 13:00:48,31
18:e7:77:3e:b6:c1,8005.885a.b60c,2020-12-18 13:00:48,2020-12-18 13:04:17,209
18:e7:77:3e:b6:c1,8005.885a.b396,2020-12-18 13:04:17,2020-12-18 13:46:11,2514
18:e7:77:3e:b6:c1,8005.885a.b60c,2020-12-18 13:46:11,2020-12-18 14:00:00,829
24:da:33:11:ea:57,5869.6ccd.6c96,2020-12-18 13:00:00,2020-12-18 12:59:53,-7
24:da:33:11:ea:57,5869.6ccd.6c96,2020-12-18 12:59:53,2020-12-18 13:00:15,22
