Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:00:00,2020-12-03 03:00:07,7
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:01:40,2020-12-03 03:01:49,9
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:03:42,2020-12-03 03:03:53,11
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:05:43,2020-12-03 03:05:49,6
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:07:45,2020-12-03 03:07:51,6
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:09:47,2020-12-03 03:09:56,9
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:11:43,2020-12-03 03:12:02,19
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:13:44,2020-12-03 03:13:53,9
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:15:37,2020-12-03 03:15:46,9
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:17:39,2020-12-03 03:17:48,9
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:19:41,2020-12-03 03:19:50,9
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:21:43,2020-12-03 03:21:51,8
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:23:45,2020-12-03 03:23:57,12
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:25:18,2020-12-03 03:25:48,30
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:27:19,2020-12-03 03:27:24,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:28:07,2020-12-03 03:28:12,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:30:09,2020-12-03 03:30:14,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:32:10,2020-12-03 03:32:15,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:33:27,2020-12-03 03:33:33,6
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:35:29,2020-12-03 03:35:38,9
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:36:44,2020-12-03 03:36:49,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:38:45,2020-12-03 03:38:58,13
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:40:47,2020-12-03 03:40:58,11
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:42:04,2020-12-03 03:42:10,6
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:44:06,2020-12-03 03:44:11,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:45:54,2020-12-03 03:46:10,16
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:47:56,2020-12-03 03:48:01,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:49:58,2020-12-03 03:50:03,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:52:00,2020-12-03 03:52:05,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:54:01,2020-12-03 03:54:06,5
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:55:25,2020-12-03 03:55:43,18
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:55:57,2020-12-03 03:56:05,8
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:56:44,2020-12-03 03:56:52,8
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:57:10,2020-12-03 03:57:19,9
d8:4c:90:4c:5e:a6,5869.6ccd.6c24,2020-12-03 03:59:12,2020-12-03 03:59:17,5
f8:9a:78:0d:fd:2f,5869.6ccd.6732,2020-12-03 03:00:00,2020-12-03 04:00:00,3600
12:25:3e:7d:aa:dc,5869.6ccd.636a,2020-12-03 03:00:00,2020-12-03 03:00:01,1
a4:b1:c1:0b:de:fc,5869.6ccd.6428,2020-12-03 03:00:01,2020-12-03 03:00:09,8
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:00:01,2020-12-03 03:00:15,14
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:01:31,2020-12-03 03:01:39,8
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:02:36,2020-12-03 03:02:43,7
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:07:03,2020-12-03 03:07:10,7
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:08:43,2020-12-03 03:08:55,12
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:10:01,2020-12-03 03:10:16,15
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:18:35,2020-12-03 03:18:48,13
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:20:01,2020-12-03 03:20:15,14
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:28:12,2020-12-03 03:28:37,25
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:30:02,2020-12-03 03:30:15,13
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:38:18,2020-12-03 03:38:25,7
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:40:01,2020-12-03 03:40:15,14
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:44:56,2020-12-03 03:45:06,10
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:46:10,2020-12-03 03:46:29,19
22:3b:5b:93:27:cf,0074.9c37.1db2,2020-12-03 03:50:01,2020-12-03 03:50:15,14
