Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
ba:cf:5a:5f:a8:b8,5869.6ccd.6d50,2020-12-30 19:00:00,2020-12-30 19:00:00,0
ba:cf:5a:5f:a8:b8,5869.6ccd.6d50,2020-12-30 19:00:00,2020-12-30 19:00:13,13
ba:cf:5a:5f:a8:b8,5869.6ccd.67a0,2020-12-30 19:00:13,2020-12-30 19:02:23,130
b0:35:9f:54:a3:ee,5869.6ccd.694a,2020-12-30 18:59:55,2020-12-30 20:00:00,3605
60:8c:4a:83:94:f9,0074.9ca8.0a02,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
60:8c:4a:83:94:f9,0074.9ca8.0a02,2020-12-30 18:59:55,2020-12-30 19:00:06,11
60:8c:4a:83:94:f9,0074.9ca8.01ec,2020-12-30 19:00:06,2020-12-30 19:00:25,19
60:8c:4a:83:94:f9,0074.9ca8.04df,2020-12-30 19:00:25,2020-12-30 19:00:41,16
60:8c:4a:83:94:f9,0074.9ca8.04d0,2020-12-30 19:00:41,2020-12-30 19:00:49,8
60:8c:4a:83:94:f9,0074.9ca8.0246,2020-12-30 19:00:49,2020-12-30 19:01:24,35
60:8c:4a:83:94:f9,0074.9ca8.04e9,2020-12-30 19:01:24,2020-12-30 19:01:35,11
60:8c:4a:83:94:f9,0074.9ca8.08d1,2020-12-30 19:01:35,2020-12-30 20:00:00,3505
a4:12:32:09:3c:7b,5869.6ccd.6d0a,2020-12-30 18:59:55,2020-12-30 20:00:00,3605
12:81:15:49:fe:0f,8005.885a.b38a,2020-12-30 18:59:55,2020-12-30 19:00:14,19
12:81:15:49:fe:0f,8005.885a.b528,2020-12-30 19:00:14,2020-12-30 19:05:58,344
c0:2e:25:f6:38:f1,5869.6ccd.6d6c,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
c0:2e:25:f6:38:f1,5869.6ccd.6d6c,2020-12-30 18:59:56,2020-12-30 19:00:01,5
c0:2e:25:f6:38:f1,5869.6ccd.6d50,2020-12-30 19:00:01,2020-12-30 19:00:11,10
c0:2e:25:f6:38:f1,5869.6ccd.6cfc,2020-12-30 19:00:11,2020-12-30 19:00:17,6
c0:2e:25:f6:38:f1,5869.6ccd.67a0,2020-12-30 19:00:17,2020-12-30 19:00:21,4
c0:2e:25:f6:38:f1,5869.6ccd.6584,2020-12-30 19:00:21,2020-12-30 19:00:29,8
c0:2e:25:f6:38:f1,5869.6cc9.d7ea,2020-12-30 19:00:29,2020-12-30 19:01:11,42
c0:2e:25:f6:38:f1,5869.6ccd.6d08,2020-12-30 19:01:11,2020-12-30 19:01:20,9
c0:2e:25:f6:38:f1,5869.6ccd.6e76,2020-12-30 19:01:20,2020-12-30 19:01:30,10
c0:2e:25:f6:38:f1,5869.6ccd.6b24,2020-12-30 19:01:30,2020-12-30 19:01:50,20
c0:2e:25:f6:38:f1,5869.6ccd.6b4e,2020-12-30 19:01:50,2020-12-30 19:02:05,15
c0:2e:25:f6:38:f1,5869.6ccd.6c46,2020-12-30 19:02:05,2020-12-30 19:02:21,16
c0:2e:25:f6:38:f1,5869.6ccd.6d8c,2020-12-30 19:02:21,2020-12-30 19:02:21,0
c0:2e:25:f6:38:f1,5869.6ccd.6182,2020-12-30 19:02:21,2020-12-30 19:02:22,1
c0:2e:25:f6:38:f1,5869.6ccd.636a,2020-12-30 19:02:22,2020-12-30 19:02:28,6
c0:2e:25:f6:38:f1,5869.6ccd.6ec0,2020-12-30 19:02:28,2020-12-30 19:02:54,26
c8:e2:65:8c:3d:b3,5869.6ccd.6318,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
c8:e2:65:8c:3d:b3,5869.6ccd.6318,2020-12-30 19:00:01,2020-12-30 19:00:01,0
dc:16:b2:3c:ea:24,8005.885a.b38a,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
a4:50:46:31:2d:ad,5869.6ccd.6942,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
a4:50:46:31:2d:ad,5869.6ccd.6942,2020-12-30 18:59:55,2020-12-30 19:00:07,12
a4:50:46:31:2d:ad,5869.6ccd.6586,2020-12-30 19:00:07,2020-12-30 19:00:22,15
a4:50:46:31:2d:ad,5869.6ccd.6a12,2020-12-30 19:00:22,2020-12-30 19:00:36,14
a4:50:46:31:2d:ad,5869.6ccd.6bc4,2020-12-30 19:00:36,2020-12-30 19:00:48,12
a4:50:46:31:2d:ad,5869.6ccd.6668,2020-12-30 19:00:48,2020-12-30 19:01:28,40
a4:50:46:31:2d:ad,5869.6cc9.d836,2020-12-30 19:01:28,2020-12-30 19:02:43,75
a4:50:46:31:2d:ad,5869.6ccd.6122,2020-12-30 19:02:43,2020-12-30 19:07:17,274
a4:50:46:31:2d:ad,5869.6ccd.6b4e,2020-12-30 19:07:17,2020-12-30 19:07:37,20
a4:50:46:31:2d:ad,5869.6ccd.6c46,2020-12-30 19:07:37,2020-12-30 19:07:48,11
a4:50:46:31:2d:ad,5869.6ccd.6ece,2020-12-30 19:07:48,2020-12-30 19:08:12,24
a4:50:46:31:2d:ad,5869.6ccd.6ec0,2020-12-30 19:08:12,2020-12-30 19:08:37,25
aa:46:68:19:b2:5c,5869.6ccd.63b2,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
aa:46:68:19:b2:5c,5869.6ccd.63b2,2020-12-30 18:59:55,2020-12-30 18:59:59,4
aa:46:68:19:b2:5c,5869.6ccd.6578,2020-12-30 18:59:59,2020-12-30 19:00:11,12
aa:46:68:19:b2:5c,5869.6ccd.6d6c,2020-12-30 19:00:11,2020-12-30 19:00:33,22
aa:46:68:19:b2:5c,5869.6ccd.6d50,2020-12-30 19:00:33,2020-12-30 19:00:51,18
aa:46:68:19:b2:5c,5869.6ccd.6d6c,2020-12-30 19:00:51,2020-12-30 19:01:05,14
aa:46:68:19:b2:5c,5869.6ccd.673c,2020-12-30 19:01:05,2020-12-30 19:01:24,19
aa:46:68:19:b2:5c,5869.6ccd.6d6c,2020-12-30 19:01:24,2020-12-30 19:02:45,81
aa:46:68:19:b2:5c,5869.6ccd.69f6,2020-12-30 19:02:45,2020-12-30 19:03:36,51
aa:46:68:19:b2:5c,5869.6ccd.63b2,2020-12-30 19:03:36,2020-12-30 19:04:00,24
aa:46:68:19:b2:5c,5869.6ccd.6644,2020-12-30 19:04:00,2020-12-30 19:04:11,11
aa:46:68:19:b2:5c,5869.6ccd.6d6c,2020-12-30 19:04:11,2020-12-30 19:04:41,30
aa:46:68:19:b2:5c,5869.6ccd.63b2,2020-12-30 19:04:41,2020-12-30 19:04:54,13
aa:46:68:19:b2:5c,5869.6cc9.d82e,2020-12-30 19:04:54,2020-12-30 19:05:13,19
aa:46:68:19:b2:5c,5869.6ccd.6f56,2020-12-30 19:05:13,2020-12-30 19:05:28,15
aa:46:68:19:b2:5c,5869.6ccd.6578,2020-12-30 19:05:28,2020-12-30 19:06:12,44
aa:46:68:19:b2:5c,5869.6ccd.6e46,2020-12-30 19:06:12,2020-12-30 20:00:00,3228
38:6e:a2:f9:10:c5,5869.6ccd.69c2,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
38:6e:a2:f9:10:c5,5869.6ccd.69c2,2020-12-30 18:59:55,2020-12-30 19:00:05,10
38:6e:a2:f9:10:c5,5869.6ccd.6bc4,2020-12-30 19:00:05,2020-12-30 19:00:32,27
38:6e:a2:f9:10:c5,5869.6ccd.63b2,2020-12-30 19:00:32,2020-12-30 19:00:39,7
fc:ab:90:9c:95:1f,5869.6ccd.6c32,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
fc:ab:90:9c:95:1f,5869.6ccd.6c32,2020-12-30 18:59:55,2020-12-30 19:00:05,10
fc:ab:90:9c:95:1f,5869.6ccd.69f0,2020-12-30 19:00:05,2020-12-30 19:00:37,32
fc:ab:90:9c:95:1f,5869.6ccd.6a10,2020-12-30 19:00:37,2020-12-30 20:00:00,3563
2c:ff:ee:f8:bf:dd,8005.885a.b354,2020-12-30 19:00:00,2020-12-30 18:59:55,-5
2c:ff:ee:f8:bf:dd,8005.885a.b354,2020-12-30 18:59:55,2020-12-30 19:00:36,41
2c:ff:ee:f8:bf:dd,8005.885a.b540,2020-12-30 19:00:36,2020-12-30 19:00:58,22
2c:ff:ee:f8:bf:dd,8005.885a.b5f4,2020-12-30 19:00:58,2020-12-30 19:01:22,24
2c:ff:ee:f8:bf:dd,8005.885a.b73e,2020-12-30 19:01:22,2020-12-30 19:29:26,1684
2c:ff:ee:f8:bf:dd,8005.885a.b5e8,2020-12-30 19:29:26,2020-12-30 19:53:49,1463
2c:ff:ee:f8:bf:dd,8005.885a.b4f2,2020-12-30 19:54:04,2020-12-30 19:54:05,1
2c:ff:ee:f8:bf:dd,8005.885a.b5e8,2020-12-30 19:54:05,2020-12-30 20:00:00,355
a4:50:46:d2:dd:05,5869.6ccd.6586,2020-12-30 19:00:00,2020-12-30 18:59:56,-4
a4:50:46:d2:dd:05,5869.6ccd.6586,2020-12-30 18:59:56,2020-12-30 19:00:27,31
a4:50:46:d2:dd:05,5869.6ccd.6668,2020-12-30 19:00:27,2020-12-30 19:00:39,12
a4:50:46:d2:dd:05,5869.6ccd.6bc4,2020-12-30 19:00:39,2020-12-30 19:01:11,32
a4:50:46:d2:dd:05,5869.6ccd.6f3e,2020-12-30 19:01:11,2020-12-30 19:01:21,10
a4:50:46:d2:dd:05,5869.6ccd.6ed8,2020-12-30 19:01:21,2020-12-30 19:01:41,20
a4:50:46:d2:dd:05,5869.6ccd.6586,2020-12-30 19:01:41,2020-12-30 19:01:45,4
a4:50:46:d2:dd:05,5869.6ccd.6ed8,2020-12-30 19:01:45,2020-12-30 20:00:00,3495
d8:ce:3a:9a:74:fd,0074.9ca8.01ec,2020-12-30 19:00:00,2020-12-30 18:59:56,-4
d8:ce:3a:9a:74:fd,0074.9ca8.01ec,2020-12-30 18:59:56,2020-12-30 19:00:20,24
d8:ce:3a:9a:74:fd,0074.9ca8.04df,2020-12-30 19:00:20,2020-12-30 19:00:46,26
d8:ce:3a:9a:74:fd,0074.9ca8.0246,2020-12-30 19:00:46,2020-12-30 19:01:08,22
d8:ce:3a:9a:74:fd,0074.9ca8.09d0,2020-12-30 19:01:08,2020-12-30 19:01:15,7
d8:ce:3a:9a:74:fd,0074.9ca8.0840,2020-12-30 19:01:15,2020-12-30 19:01:30,15
d8:ce:3a:9a:74:fd,0074.9ca8.08d1,2020-12-30 19:01:30,2020-12-30 20:00:00,3510
7c:04:d0:38:76:fb,5869.6ccd.6c96,2020-12-30 19:00:00,2020-12-30 18:59:56,-4
7c:04:d0:38:76:fb,8005.885a.b594,2020-12-30 19:41:00,2020-12-30 19:41:52,52
7c:04:d0:38:76:fb,0074.9c77.1ffc,2020-12-30 19:42:15,2020-12-30 19:42:23,8
7c:04:d0:38:76:fb,0074.9c77.1fb8,2020-12-30 19:42:23,2020-12-30 19:42:31,8
