Device_Mac,AP_Mac,Up_Time,Down_Time,Duration
84:76:37:07:4d:40,5869.6ccd.6c42,2020-12-16 15:00:00,2020-12-16 15:00:17,17
84:76:37:07:4d:40,5869.6ccd.6c42,2020-12-16 15:00:17,2020-12-16 15:01:09,52
84:76:37:07:4d:40,5869.6cc9.dcbc,2020-12-16 15:01:09,2020-12-16 15:06:40,331
84:76:37:07:4d:40,5869.6ccd.6c42,2020-12-16 15:06:40,2020-12-16 15:07:57,77
84:76:37:07:4d:40,5869.6ccd.6c92,2020-12-16 15:07:57,2020-12-16 15:08:23,26
84:76:37:07:4d:40,5869.6ccd.613c,2020-12-16 15:08:23,2020-12-16 15:08:32,9
84:76:37:07:4d:40,5869.6ccd.696e,2020-12-16 15:08:32,2020-12-16 15:09:16,44
84:76:37:07:4d:40,5869.6ccd.6c72,2020-12-16 15:09:16,2020-12-16 15:09:36,20
84:76:37:07:4d:40,5869.6cc9.d950,2020-12-16 15:09:36,2020-12-16 15:10:27,51
84:76:37:07:4d:40,5869.6ccd.6c62,2020-12-16 15:10:27,2020-12-16 15:10:40,13
3a:16:01:ea:aa:f0,5869.6ccd.6d44,2020-12-16 15:00:00,2020-12-16 15:00:00,0
3a:16:01:ea:aa:f0,5869.6ccd.6d44,2020-12-16 15:00:00,2020-12-16 15:00:35,35
3a:16:01:ea:aa:f0,5869.6ccd.6c68,2020-12-16 15:00:35,2020-12-16 15:00:37,2
3a:16:01:ea:aa:f0,5869.6ccd.6d44,2020-12-16 15:00:37,2020-12-16 15:00:45,8
3a:16:01:ea:aa:f0,5869.6ccd.6122,2020-12-16 15:00:45,2020-12-16 15:04:31,226
3a:16:01:ea:aa:f0,5869.6ccd.6d44,2020-12-16 15:04:31,2020-12-16 15:05:07,36
3a:16:01:ea:aa:f0,5869.6ccd.6f40,2020-12-16 15:05:07,2020-12-16 15:05:26,19
3a:16:01:ea:aa:f0,5869.6ccd.6c6c,2020-12-16 15:05:26,2020-12-16 15:06:04,38
3a:16:01:ea:aa:f0,5869.6ccd.6d7c,2020-12-16 15:06:04,2020-12-16 15:06:22,18
3a:16:01:ea:aa:f0,5869.6ccd.6314,2020-12-16 15:06:22,2020-12-16 15:12:40,378
3a:16:01:ea:aa:f0,0074.9ca8.04b2,2020-12-16 15:35:35,2020-12-16 16:00:00,1465
b0:19:c6:88:74:a7,5869.6ccd.69f6,2020-12-16 15:00:00,2020-12-16 16:00:00,3600
96:ce:68:e6:d7:d4,0074.9ca8.02e6,2020-12-16 15:00:00,2020-12-16 15:00:00,0
96:ce:68:e6:d7:d4,0074.9ca8.02e6,2020-12-16 15:00:00,2020-12-16 15:03:26,206
96:ce:68:e6:d7:d4,0074.9ca8.03cc,2020-12-16 15:10:36,2020-12-16 15:16:02,326
96:ce:68:e6:d7:d4,0074.9ca8.02e6,2020-12-16 15:16:02,2020-12-16 15:49:38,2016
96:ce:68:e6:d7:d4,0074.9ca8.0476,2020-12-16 15:49:38,2020-12-16 15:49:42,4
96:ce:68:e6:d7:d4,0074.9ca8.048f,2020-12-16 15:49:42,2020-12-16 15:51:32,110
96:ce:68:e6:d7:d4,0074.9ca8.02e6,2020-12-16 15:51:32,2020-12-16 15:56:22,290
96:ce:68:e6:d7:d4,0074.9ca8.02e6,2020-12-16 15:57:35,2020-12-16 15:57:47,12
4c:6b:e8:a6:e6:28,5869.6ccd.636a,2020-12-16 15:00:00,2020-12-16 15:00:01,1
4c:6b:e8:a6:e6:28,5869.6ccd.636a,2020-12-16 15:00:01,2020-12-16 15:00:08,7
4c:6b:e8:a6:e6:28,5869.6ccd.636a,2020-12-16 15:00:30,2020-12-16 15:00:38,8
4c:6b:e8:a6:e6:28,5869.6ccd.6ec0,2020-12-16 15:00:38,2020-12-16 15:01:52,74
4c:6b:e8:a6:e6:28,5869.6ccd.636a,2020-12-16 15:01:52,2020-12-16 15:02:41,49
4c:6b:e8:a6:e6:28,8005.885a.b6de,2020-12-16 15:55:11,2020-12-16 15:56:50,99
4c:6b:e8:a6:e6:28,8005.885a.b6a8,2020-12-16 15:56:50,2020-12-16 15:56:54,4
4c:6b:e8:a6:e6:28,8005.885a.b6de,2020-12-16 15:56:54,2020-12-16 15:57:10,16
4c:6b:e8:a6:e6:28,8005.885a.b372,2020-12-16 15:57:10,2020-12-16 15:57:28,18
4c:6b:e8:a6:e6:28,8005.885a.b38a,2020-12-16 15:57:28,2020-12-16 16:00:00,152
9c:f5:31:9b:d7:e1,5869.6ccd.6c58,2020-12-16 15:00:00,2020-12-16 15:00:01,1
9c:f5:31:9b:d7:e1,5869.6ccd.6c58,2020-12-16 15:00:01,2020-12-16 15:00:21,20
9c:f5:31:9b:d7:e1,5869.6ccd.6584,2020-12-16 15:00:21,2020-12-16 15:00:34,13
9c:f5:31:9b:d7:e1,5869.6ccd.6eb0,2020-12-16 15:00:34,2020-12-16 15:00:41,7
9c:f5:31:9b:d7:e1,5869.6ccd.6eac,2020-12-16 15:00:41,2020-12-16 15:00:55,14
9c:f5:31:9b:d7:e1,5869.6ccd.6eb0,2020-12-16 15:00:55,2020-12-16 15:01:21,26
9c:f5:31:9b:d7:e1,5869.6ccd.6eac,2020-12-16 15:01:21,2020-12-16 16:00:00,3519
92:5a:76:e6:a5:b5,5869.6ccd.69e6,2020-12-16 15:00:01,2020-12-16 16:00:00,3599
04:72:95:d7:c2:90,0074.9ca8.03cc,2020-12-16 15:00:02,2020-12-16 15:00:09,7
04:72:95:d7:c2:90,0074.9ca8.03cc,2020-12-16 15:10:46,2020-12-16 15:10:49,3
04:72:95:d7:c2:90,0074.9ca8.0269,2020-12-16 15:10:49,2020-12-16 15:10:54,5
04:72:95:d7:c2:90,0074.9ca8.03cc,2020-12-16 15:11:09,2020-12-16 15:11:17,8
04:72:95:d7:c2:90,0074.9ca8.03cc,2020-12-16 15:13:49,2020-12-16 15:14:04,15
04:72:95:d7:c2:90,0074.9ca8.02e6,2020-12-16 15:14:25,2020-12-16 15:15:30,65
